source_account_number,destination_account_number,amount_before_transaction,amount_debited,transaction_time,amount_after_transaction,company_name,company_website,risk_score_dest,is_fraud
1090,1034,9765.206864,220.854553,3/24/2022,9544.352311,Company_1034,www.company1034.com,0,0
1063,1045,7677.844053,145.6447206,2/12/2022,7532.199332,Company_1045,www.company1045.com,4,1
1027,1065,8037.148161,159.0909048,1/29/2022,7878.057256,Company_1065,www.company1065.com,0,0
1036,1097,8050.068637,433.0059788,1/30/2022,7617.062659,Company_1097,www.company1097.com,0,0
1009,1082,5952.484134,369.2204659,2/3/2022,5583.263668,Company_1082,www.company1082.com,0,0
1004,1096,5971.459002,303.5953984,4/6/2022,5667.863603,Company_1096,www.company1096.com,0,0
1012,1024,8961.264055,257.1085447,3/21/2022,8704.15551,Company_1024,www.company1024.com,2,1
1019,1091,3705.969232,357.2048399,3/15/2022,3348.764393,Company_1091,www.company1091.com,0,0
1079,1035,7755.436687,117.3577855,3/23/2022,7638.078902,Company_1035,www.company1035.com,3,1
1050,1020,3184.732778,200.1701154,3/28/2022,2984.562663,Company_1020,www.company1020.com,1,1
1089,1003,6755.889146,287.4653659,3/28/2022,6468.42378,Company_1003,www.company1003.com,1,1
1095,1097,9809.639567,410.0582679,3/3/2022,9399.581299,Company_1097,www.company1097.com,0,0
1029,1011,9940.421218,322.9491893,3/27/2022,9617.472029,Company_1011,www.company1011.com,0,0
1022,1076,1607.389235,167.4771506,2/2/2022,1439.912085,Company_1076,www.company1076.com,4,1
1025,1033,7940.84722,258.3584102,1/3/2022,7682.488809,Company_1033,www.company1033.com,2,1
1061,1013,3534.345827,173.0667462,4/10/2022,3361.279081,Company_1013,www.company1013.com,0,0
1086,1044,3207.291247,387.1856256,2/19/2022,2820.105622,Company_1044,www.company1044.com,0,0
1076,1089,9110.373788,225.5588497,2/21/2022,8884.814938,Company_1089,www.company1089.com,0,0
1024,1057,6070.815427,295.1712972,3/12/2022,5775.64413,Company_1057,www.company1057.com,0,0
1052,1043,8446.9279,162.8061934,3/26/2022,8284.121706,Company_1043,www.company1043.com,1,1
1044,1073,5517.34705,392.4832284,2/17/2022,5124.863822,Company_1073,www.company1073.com,0,0
1034,1074,8891.774046,351.2441234,1/2/2022,8540.529923,Company_1074,www.company1074.com,0,0
1035,1013,8288.02888,348.1607737,2/22/2022,7939.868106,Company_1013,www.company1013.com,0,0
1085,1022,4734.167478,174.1367289,3/21/2022,4560.03075,Company_1022,www.company1022.com,0,0
1016,1065,1485.695654,324.9313039,2/11/2022,1160.76435,Company_1065,www.company1065.com,0,0
1046,1019,2598.49738,251.8656662,3/24/2022,2346.631714,Company_1019,www.company1019.com,0,0
1063,1061,2217.577312,413.4337048,2/12/2022,1804.143607,Company_1061,www.company1061.com,3,1
1023,1091,7488.872417,167.0368137,3/31/2022,7321.835603,Company_1091,www.company1091.com,0,0
1088,1053,1939.392816,331.2539808,1/21/2022,1608.138835,Company_1053,www.company1053.com,0,0
1081,1090,6235.915064,142.1833531,3/6/2022,6093.731711,Company_1090,www.company1090.com,2,1
1083,1099,7855.156302,340.2380304,3/24/2022,7514.918271,Company_1099,www.company1099.com,0,0
1084,1026,5044.696021,237.8556823,2/5/2022,4806.840339,Company_1026,www.company1026.com,0,0
1088,1079,7592.557838,418.7761215,1/12/2022,7173.781716,Company_1079,www.company1079.com,0,0
1056,1006,3596.064576,488.1370918,3/14/2022,3107.927484,Company_1006,www.company1006.com,0,0
1004,1072,3126.582206,429.568866,4/2/2022,2697.01334,Company_1072,www.company1072.com,0,0
1015,1094,4912.035015,480.6187245,3/12/2022,4431.41629,Company_1094,www.company1094.com,0,0
